Overall List Number,Year List Number,Title,Release Year,Year Watched,
1,1,The Hunger Games,2012,2013,
2,2,The Adventures of Tintin,2011,2013,
3,3,Last Action Hero,1993,2013,
4,4,Thor,2011,2013,
5,5,The Lorax,2012,2013,
6,6,Argo,2012,2013,
7,7,Silver Linings Playbook,2012,2013,
8,8,The Invisible War,2012,2013,
9,9,Beasts of the Southern Wild,2012,2013,
10,10,Mission: Impossible - Ghost Protocol,2011,2013,
11,11,Moonrise Kingdom,2012,2013,
12,12,Mission: Impossible III,2006,2013,
13,13,James and the Giant Peach,1996,2013,
14,14,Star Trek II: The Wrath of Khan,1982,2013,
15,15,These Amazing Shadows: The Movies That Make America,2011,2013,
16,16,Star Trek III: The Search for Spock,1984,2013,
17,17,Dumbo,1941,2013,
18,18,The Evil Dead,1981,2013,
19,19,The Evil Dead II,1987,2013,
20,20,Army of Darkness,1992,2013,
21,21,Tucker & Dale vs Evil,2010,2013,
22,22,Looper,2012,2013,
23,23,Gattaca,1997,2013,
24,24,War Games,1983,2013,
25,25,Love,2011,2013,
26,26,Deep Impact,1998,2013,
27,27,Godzilla,1998,2013,
28,28,The Faculty,1998,2013,
29,29,Double Indemnity,1944,2013,
30,30,Super 8,2011,2013,
31,31,Trashed,2012,2013,
32,32,The Secret of Kells,2009,2013,
33,33,Nirvana Live! Tonight! Sold Out!!,1994,2013,
34,34,Barry Lyndon,1975,2013,
35,35,A Knight's Tale,2001,2013,
36,36,True Grit,2010,2013,
37,37,Big Fish,2003,2013,
38,38,The Place Beyond the Pines,2013,2013,
39,39,Shotgun Stories,2007,2013,
40,40,Oblivion,2013,2013,
41,41,The Skin I Live In,2011,2013,
42,42,The Last Temptation of Christ,1988,2013,
43,43,Star Trek Into Darkness,2013,2013,
44,44,The Hobbit: An Unexpected Journey,2012,2013,
45,45,Sound City,2013,2013,
46,46,Man on the Moon,1999,2013,
47,47,Dreamscape,1984,2013,
48,48,The Manhattan Project,1986,2013,
49,49,Tucker: The Man and His Dream,1988,2013,
50,50,Magic Trip,2011,2013,
51,51,The Avengers,2012,2013,
52,52,Oz The Great and Powerful,2013,2013,
53,53,Man of Steel,2013,2013,
54,54,The Rainmaker,1997,2013,
55,55,Into the Wild,2007,2013,
56,56,Dinotasia,2012,2013,
57,57,World War Z,2013,2013,
58,58,Terminator Salvation,2009,2013,
59,59,Branded,2012,2013,
60,60,Elysium,2013,2013,
61,61,42,2013,2013,
62,62,Classic Albums: Nirvana - Nevermind,2005,2013,
63,63,Lee Daniels' The Butler,2013,2013,
64,64,The Arrival,1996,2013,
65,65,Dredd,2012,2013,
66,66,The Road,2009,2013,
67,67,The Great Gatsby,2013,2013,
68,68,Microcosmos,1996,2013,
69,69,Toys,1992,2013,
70,70,Nirvana: Live at the Paramount,2011,2013,
71,71,Enough Said,2013,2013,
72,72,Congo,1995,2013,
73,73,Nirvana: Live at Reading,2009,2013,
74,74,Nirvana: MTV Unplugged in New York,2007,2013,
75,75,Closed Curtain,2013,2013,
76,76,The Motel Life,2012,2013,
77,77,Cheap Thrills,2013,2013,
78,78,Domestic,2012,2013,
79,79,Heli,2013,2013,
80,80,Star Trek: Nemesis,2002,2013,
81,81,This Is the End,2013,2013,
82,82,Pacific Rim,2013,2013,
83,83,Flight,2012,2013,
84,84,Gravity,2013,2013,
85,85,Star Trek: Generations,1994,2013,
86,86,Star Trek: First Contact,1996,2013,
87,87,The Kings of Summer,2013,2013,
88,88,The Forgotten,2004,2013,
89,89,Monsters University,2013,2013,
90,90,An American Werewolf in London,1981,2013,
91,91,John Hodgman: Ragnarok,2013,2013,
92,92,Robin Hood,1973,2013,
93,93,Blackfish,2013,2013,
95,95,Europa Report,2013,2013,
96,96,The Chicago 8,2011,2013,
97,97,Dances with Wolves,1990,2013,
98,98,Breaking Away,1979,2013,
99,99,Prince Avalanche,2013,2013,
100,100,Frances Ha,2012,2013,
101,1,Zodiac,2007,2014,
102,2,The Sword in the Stone,1963,2014,
103,3,Antz,1998,2014,
104,4,Barbarella,1968,2014,
105,5,The Crow: City of Angels,1996,2014,
106,6,Robot & Frank,2012,2014,
107,7,Iron Man 3,2013,2014,
108,8,The Croods,2013,2014,
109,9,Captain Phillips,2013,2014,
110,10,The Lone Ranger,2013,2014,
111,11,Her,2013,2014,
112,12,V for Vendetta,2005,2014,
113,13,Contagion,2011,2014,
114,14,The Wind Rises,2013,2014,
115,15,Men with Brooms,2002,2014,
116,16,The Rescuers,1977,2014,
117,17,Thor: The Dark World,2013,2014,
118,18,Ender's Game,2013,2014,
119,19,Saving Mr. Banks,2013,2014,
120,20,The Secret Life of Walter Mitty,2013,2014,
121,21,Speed,1994,2014,
122,22,Battleship Potemkin,1925,2014,
123,23,The Case of the Three Sided Dream,2013,2014,
124,24,The Master,2012,2014,
125,25,Wreck-It Ralph,2012,2014,
126,26,Palo Alto,2013,2014,
127,27,Cloudy with a Chance of Meatballs 2,2013,2014,
128,28,X-Men: Days of Future Past,2014,2014,
129,29,The Warriors,1979,2014,
130,30,21 Jump Street,2012,2014,
131,31,The Grand Budapest Hotel,2014,2014,
132,32,Star Trek Into Darkness,2013,2014,
133,33,G.I. Joe: Retaliation,2013,2014,
134,34,Corn's-A-Poppin',1955,2014,
135,35,C.L.I.T.,2004,2014,
136,36,Braveheart,1995,2014,
137,37,World War Z,2013,2014,
138,38,The Lego Movie,2014,2014,
139,39,Top Gun,1986,2014,
140,40,The Dark Knight Rises,2012,2014,
141,41,Rise of the Planet of the Apes,2011,2014,
142,42,Django Unchained,2012,2014,
143,43,The Congress,2014,2014,
144,44,Prometheus,2012,2014,
145,45,The Hobbit: The Desolation of Smaug,2013,2014,
146,46,Dawn of the Planet of the Apes,2014,2014,
147,47,Guardians of the Galaxy,2014,2014,
148,48,Particle Fever,2014,2014,
149,49,The Muppet Movie,1979,2014,
150,50,Major League,1989,2014,
151,51,The Rescuers Down Under,1990,2014,
152,52,Stargate,1994,2014,
153,53,Dallas Buyers Club,2013,2014,
154,54,Rocky,1976,2014,
155,55,Stop Making Sense,1984,2014,
156,56,The Fifth Element,1997,2014,
157,57,Turner & Hooch,1989,2014,
158,58,Down Periscope,1996,2014,
159,59,Mission to Mars,2000,2014,
160,60,Divergent,2014,2014,
161,61,Gravity,2013,2014,
162,62,8 Femmes,2002,2014,
163,63,Fantastic Planet,1973,2014,
164,64,The Wolf of Wall Street,2013,2014,
165,65,A Girl at My Door,2014,2014,
166,66,Birdman,2014,2014,
167,67,Galaxy Quest,1999,2014,
168,68,King Kong,1976,2014,
169,69,Passchendaele,2008,2014,
170,70,The Greatest Movie Ever Rolled,2012,2014,
171,71,Orlac’s Hände,1924,2014,
172,72,Edge of Tomorrow,2014,2014,
173,73,Star Trek Generations,1994,2014,
174,74,Star Trek Nemesis,2002,2014,
175,75,Trek Nation,2011,2014,
